TimeStamp,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
01-01-2024 00:00,7598.4,19087.5,5785.71,5785.71,2850.38,2850.38
01-01-2024 00:15,7581.4,19491.1,5885.49,5885.49,2733.12,2733.12
01-01-2024 00:30,7610.7,19765.8,5845.1,5845.1,2840.08,2840.08
01-01-2024 00:45,7591.4,20068.3,5839.1,5839.1,2830.47,2830.47
01-01-2024 01:00,7522.9,20973,6041.1,6041.1,2489.74,2489.74
01-01-2024 01:15,7495.7,21573.6,6015,6015,2489.53,2489.53
01-01-2024 01:30,7599.1,22315.3,5943.5,5943.5,2489.21,2489.21
01-01-2024 01:45,7555.3,22620.7,5898.7,5898.7,2489.01,2489.01
01-01-2024 02:00,7560,22981.3,6009.9,6009.9,2380.77,2380.77
01-01-2024 02:15,7547,23316.5,6014.4,6014.4,2339.84,2339.84
01-01-2024 02:30,7534.6,23527.2,6002.1,6002.1,2339.65,2339.65
01-01-2024 02:45,7553.9,23818.9,6021.6,6021.6,2339.53,2339.53
01-01-2024 03:00,7522.8,23769.2,5993.6,5993.6,2350.84,2350.84
01-01-2024 03:15,7507,23607.4,5936.4,5936.4,2449.6,2449.6
01-01-2024 03:30,7520.9,23670.3,5950.4,5950.4,2449.6,2449.6
01-01-2024 03:45,7509.4,23533.4,5939.3,5939.3,2449.57,2449.57
01-01-2024 04:00,7517.3,22723,5945.4,5945.4,2449.87,2449.87
01-01-2024 04:15,7435.4,21581.7,5863.6,5863.6,2449.99,2449.99
01-01-2024 04:30,7236.8,20771.4,5841.4,5841.4,2440.89,2440.89
01-01-2024 04:45,7379.2,20024.3,5983.1,5983.1,2449.18,2449.18
01-01-2024 05:00,7881.6,18903.3,6177,6177,2950.17,2950.17
01-01-2024 05:15,8235.9,18414.4,6320.2,6320.2,3000.4,3000.4
01-01-2024 05:30,9187.3,17198.1,6844.6,6844.6,3087.13,3087.13
01-01-2024 05:45,9849.7,16488.5,7419.3,7419.3,3150.42,3150.42
01-01-2024 06:00,10419.8,13520.8,7408.8,7408.8,3541.79,3541.79
01-01-2024 06:15,11089.6,13035.1,8014.1,8014.1,3600.16,3600.16
01-01-2024 06:30,11899.2,12402.6,8520.2,8520.2,3609.22,3609.22
01-01-2024 06:45,12535.6,12091.2,9174.38,9174.38,3750.68,3750.68
01-01-2024 07:00,12698.6,10477,8681.11,8681.11,4000.65,4000.65
01-01-2024 07:15,16204.9,10827.6,10697.6,10697.6,9500.47,9500.47
01-01-2024 07:30,17530.6,9945.1,9815.1,9815.1,10000,10000
01-01-2024 07:45,18346.5,8830.2,8700.2,8700.2,10000,10000
01-01-2024 08:00,19468,8851.6,8725.6,8725.6,10000,10000
01-01-2024 08:15,20303.5,8183.6,8057.6,8057.6,10000,10000
01-01-2024 08:30,20550.2,7302.1,7176.09,7176.09,10000,10000
